Id,Nom,Image,Catégorie,Description,Cuisson,Préparation,Portions unité,Difficulté,Portions,Régime,Coût,Instructions,Ingrédients,Audio
460,Lentilles vertes à la provençale,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/460.jpg,Plats,Un plat principal sain et savoureux aux saveurs méditerranéennes facile à préparer.,8,5,personnes,1,4,Legumes sec,2,"Préparation des légumes: utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, l'ail, les carottes et le céleri avec un peu d'huile d'olive. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajoutez des lentilles et des tomates: Égouttez les lentilles vertes trempées et ajoutez-les dans la cuve avec les légumes. Ajoutez les tomates concassées, le thym, la feuille de laurier, et l'eau.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 8 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle. Retirez la feuille de laurier.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez les lentilles vertes à la provençale chaudes, accompagnées de pain croustillant.","1 tasse Lentilles vertes, trempées pendant 1 heures
1.5 tasse Eau
1 Oignon, moyen, haché
2 Gousses d'ail, émincées
2 Carottes, coupées en dés
1 Branche de céleri, coupée en dés
400 g Tomates concassées
1 cuillère à café Thym, séché
Quelques feuilles Laurier
Sel, au goût
Poivre, au goût",
461,Chili végétarien aux haricots noirs,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/461.jpg,Accompagnements,"Un chili savoureux sans viande, riche en protéines et en fibres, et parfait pour un repas réconfortant.",19,10,personnes,2,4,Legumes sec,2,"Préparation des légumes: utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, l'ail et le poivron rouge avec un peu d'huile d'olive. Ajoutez le cumin, le paprika fumé et la poudre de chili. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner pour développer les arômes.
Ajouter des haricots noirs: Égouttez les haricots noirs trempés et ajoutez-les dans la cuve avec les légumes épicés. Mélangez bien.
Cuisson sous pression: Ajouter les tomates concassées et l'eau. Fermez le couvercle du Thermochef.
Réglage du Thermochef: Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Les haricots noirs nécessitent normalement 40 minutes de cuisson, divisez donc le temps par 3, ce qui donne 14 minutes de cuisson. Validez par cuisiner.
Ajout du maïs: Une fois la cuisson terminée et la pression libérée naturellement, ouvrez le couvercle et ajoutez le maïs égoutté. Mélangez bien pour répartir le maïs dans le chili.
Fin de cuisson: Réchauffez le chili pendant 2 minutes sur le menu thermo grill, couvercle ouvert, si nécessaire, pour intégrer le maïs.
Service: Servez le chili végétarien aux haricots noirs chaud, accompagné de riz, de tortillas ou de pain de maïs. Vous pouvez garnir avec de la coriandre fraîche, des tranches d'avocat, ou un filet de crème fraîche pour plus de gourmandise.","1 tasse Haricots noirs secs, trempés 4 h
2 tasses Eau
1 Oignon moyen, haché
2 Gousses d'ail, émincées
1 Poivron rouge, coupé en dés
400 g Tomates concassées
1 cuillère à café Cumin moulu
1 cuillère à café Paprika fumé
1 pincée Poudre de chili
Sel, au goût
Poivre, au goût
Huile d'olive, au goût
150 g Maïs, égoutté",
462,Flageolets à la tomate et au basilic,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/462.jpg,Accompagnements,"Un plat d'accompagnement savoureux et facile à réaliser, mariant les flageolets tendres à la saveur de la tomate et du basilic frais.",30,10,personnes,1,4,Legumes sec,2,"Préparation des légumes: utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon et l'ail avec l'huile d'olive. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajoutez des flageolets et des tomates: Égouttez les flageolets trempés et ajoutez-les dans la cuve avec les oignons et l'ail. Ajoutez les tomates concassées et l'eau.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 30 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût. Incorporez le basilic frais haché.
Service: Servez les flageolets à la tomate et au basilic chauds, comme accompagnement ou plat principal léger.","1 tasse Flageolets, trempés 2 heures
4 tasses Eau
400 g Tomates concassées
1 Oignon moyen, haché
2 Gousses d'ail, émincées
1 cuillère à soupe Huile d'olive
1 bouquet Basilic frais, haché
Sel, au goût
Poivre, au goût",
463,Flageolets aux carottes et au cumin,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/463.jpg,Accompagnements,"Un accompagnement délicieux et parfumé à base de flageolets aux carottes et cumin, parfait pour accompagner vos plats de viande ou pour un repas végétarien",25,5,personnes,2,4,Legumes sec,2,"Préparation des légumes: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, l'ail et les carottes avec l'huile d'olive et le cumin. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajoutez des flageolets et de l'eau: Égouttez les flageolets trempés et ajoutez-les dans la cuve avec les légumes. Ajoutez l'eau.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 5, puissance 2. Programmez 20 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez les flageolets aux carottes et au cumin chauds, comme accompagnement d'un plat de viande ou comme plat principal végétarien.","1 tasse Flageolets, trempés toute la nuit
2 tasses Eau
2 Carottes, coupées en dés
1 Oignon moyen, haché
2 gousses Ail, émincées
1 cuillère à café Cumin moulu
1 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
464,Flageolets verts à l'ail et au persil,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/464.jpg,Accompagnements,"Un savoureux accompagnement de flageolets verts assaisonnés avec de l'ail et du persil frais, cuit sous pression pour plus de saveur et de tendreté.",33,3,personnes,1,4,Legumes sec,2,"Préparation de l'ail: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'ail avec l'huile d'olive. Réglez le temps de cuisson à 3 minutes, puissance 3. Validez par cuisiner jusqu'à ce que l'ail soit parfumé mais pas brûlé.
Ajouter des flageolets et de l'eau: Égoutter les flageolets trempés et ajoutez-les dans la cuve avec l'ail. Ajoutez l'eau.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 30 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût. Incorporer le persil frais haché.
Service: Servez les flageolets verts à l'ail et au persil chauds, comme accompagnement d'un plat de viande ou de poisson.","1 tasse Flageolets, trempés toute la nuit
4 tasses Eau
4 Gousses d'ail, émincées
0.25 tasse Persil frais, haché
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
465,Flageolets en salade aux herbes fraîches,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/465.jpg,Accompagnements,"Une salade rafraîchissante de flageolets aux herbes fraîches, parfaite pour un repas léger ou en accompagnement.",30,15,personnes,2,4,Legumes sec,2,"Cuisson des flageolets: Égoutter les flageolets trempés et placez-les dans la cuve avec l'eau. Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 30 minutes de cuisson. Validez par cuisiner.
Préparation de la vinaigrette: Dans un grand saladier, mélangez le vinaigre de vin rouge, l'huile d'olive, l'échalote hachée, le persil, le basilic, le sel et le poivre.
Assemblage de la salade: Une fois les flageolets cuits et légèrement refroidis, égouttez-les et ajoutez-les au saladier avec la vinaigrette. Mélangez délicatement pour bien enrober les flageolets.
Service: Servez la salade de flageolets aux herbes fraîches à température ambiante ou légèrement réfrigérée. Parfait pour un pique-nique ou comme accompagnement d'un barbecue.","1 tasse Flageolets, laisser tremper 2 heures
1 tasse Eau
0.25 tasse Vinaigre de vin rouge
0.5 tasse Huile d'olive extra vierge
1 Échalote, finement hachée
0.25 tasse Persil frais, haché
0.25 tasse Basilic frais, haché
Sel, au goût
Poivre, au goût",
466,Flageolets au chorizo et paprika,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/466.jpg,Accompagnements,"Fusion savoureuse de flageolets tendres, de chorizo piquant et de paprika fumé pour une expérience culinaire robuste et réconfortante.",40,10,personnes,3,4,Legumes sec,3,"Préparation du chorizo: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir le chorizo avec l'oignon et l'ail dans l'huile d'olive. Ajoutez le paprika fumé. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajoutez des flageolets, de l'eau et de la feuille de laurier: égoutter les flageolets trempés et ajoutez-les dans la cuve avec le mélange de chorizo. Ajoutez l'eau et la feuille de laurier.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 35 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle. Retirez la feuille de laurier.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez les flageolets au chorizo et paprika chauds, comme plat principal réconfortant.","1 tasse Flageolets, laisser trempé 2 h
4 tasses Eau
200 g Chorizo, coupé en rondelles
1 Oignon moyen, haché
2 Gousses d'ail, émincées
1 cuillère à café Paprika fumé
Quelques feuilles Laurier
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
467,Petits pois à la française,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/467.jpg,Accompagnements,"Un plat classique, simple et savoureux de petits pois cuits avec de la laitue et de l'oignon.",7,3,personnes,1,4,Legumes sec,2,"Préparation des légumes: utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon avec le beurre. Réglez le temps de cuisson à 3 minutes, puissance 3. Validez par cuisiner.
Ajoutez des petits pois et de la laitue: Ajoutez les petits pois, la laitue émincée et l'eau dans la cuve.
Cuisson: Fermez le couvercle du Thermochef. Sélectionnez le menu pression couvercle fermé, réglez la pression sur 6, puissance 3. Programmez 7 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez les petits pois à la française chauds, garnis de menthe fraîche hachée.","2 tasses Petits pois, frais ou surgelés
1 Laitue romaine, émincée
1 Oignon, moyen, haché
2 cuillère à soupe Beurre
0.5 tasse Eau
Sel, au goût
Poivre, au goût
1 brin Menthe fraîche, pour garnir",
468,Risotto aux petits pois,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/468.jpg,Accompagnements,Un classique italien revisité avec des petits pois pour une touche de fraîcheur.,25,10,personnes,2,4,Legumes sec,3,"Préparation du risotto: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon avec une cuillère à soupe de beurre.
Ajoutez le riz et faites-le nacrer pendant 2 minutes. Déglacez avec le vin blanc.
Ajoutez le bouillon de légumes chaud et les petits pois. Fermez le couvercle du Thermochef.
Sélectionnez le menu riz, couvercle fermé. Laissez cuire selon le programme automatique.
Une fois le programme terminé, incorporez le parmesan râpé et le reste du beurre. Mélangez bien jusqu'à obtenir une consistance crémeuse.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez le risotto aux petits pois chaud, garni de parmesan supplémentaire si désiré.","1 tasse Riz arborio
2 tasses Petits pois, frais ou surgelés
1 Oignon, moyen, haché
3 tasses Bouillon de légumes
0.5 tasse Vin blanc
0.5 tasse Parmesan, râpé
2 cuillère à soupe Beurre
Sel, au goût
Poivre, au goût",
469,Soupe de petits pois à la menthe,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/469.jpg,Accompagnements,"Une soupe rafraîchissante de petits pois relevée par la fraîcheur de la menthe, idéale pour une entrée légère.",12,6,personnes,1,4,Legumes sec,2,"Préparation de la base: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon avec l'huile d'olive. Réglez le temps de cuisson à 3 minutes, puissance 3. Validez par cuisiner.
Ajoutez des petits pois et du bouillon: Ajoutez les petits pois et le bouillon de légumes dans la cuve.
Cuisson: Fermez le couvercle du Thermochef. Sélectionnez le menu soupe, couvercle fermé. Laissez cuire selon le programme automatique pendant 12 minutes.
Ajoutez de la menthe: une fois la cuisson terminée, ajoutez les feuilles de menthe fraîche dans la soupe.
Mixage: Utilisez un mixeur plongeant (si compatible avec votre modèle de Thermochef) ou transférez la soupe dans un blender pour la mixer jusqu'à obtenir une consistance lisse.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez la soupe de petits pois à la menthe chaude, garnie de crème fraîche et de quelques feuilles de menthe.","3 tasses Petits pois, frais ou surgelés
4 tasses Bouillon de légumes
1 Oignon moyen, haché
2 cuillère à soupe Huile d'olive
1 tasse Menthe fraîche
Sel, au goût
Poivre, au goût
Crème fraîche, optionnel, au goût",
470,Petits pois carottes à l'orientale,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/470.jpg,Accompagnements,"Une association classique de légumes rehaussée par des épices à l'orientale, cuisinée facilement au Thermochef.",10,5,personnes,2,4,Legumes sec,2,"Préparation des légumes: utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, les carottes avec l'huile d'olive et les épices. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajouter des petits pois et de l'eau: Ajoutez les petits pois et l'eau dans la cuve.
Cuisson: Fermez le couvercle du Thermochef. Sélectionnez le menu pression couvercle fermé, réglez la pression sur 6, puissance 3. Programmez 5 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez les petits pois carottes à l'orientale chauds, garnis de coriandre fraîche hachée.","2 tasses Petits pois, frais ou surgelés
2 Carottes, coupées en dés
1 Oignon, moyen, haché
2 cuillère à soupe Huile d'olive
1 cuillère à café Cumin, moulu
0.5 cuillère à café Cannelle, moulue
0.25 cuillère à café Gingembre, moulu
0.5 tasse Eau
Sel, au goût
Poivre, au goût
1 poignée Coriandre fraîche, hachée pour garnir",
471,Petits pois au jambon et à la crème,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/471.jpg,Accompagnements,Un plat simple et gourmand de petits pois mijotés avec du jambon et de la crème fraîche.,7,6,personnes,2,4,Legumes sec,3,"Préparation de l'oignon: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon avec le beurre. Réglez le temps de cuisson à 3 minutes, puissance 3. Validez par cuisiner.
Ajouter des petits pois et du jambon: Ajoutez les petits pois et le jambon dans la cuve avec un peu d'eau (juste assez pour ne pas brûler, environ 0.25 tasse).
Cuisson: Fermez le couvercle du Thermochef. Sélectionnez le menu pression couvercle fermé, réglez la pression sur 6, puissance 3. Programmez 7 minutes de cuisson. Validez par cuisiner.
Ajouter de la crème: Une fois la cuisson terminée et la pression libérée, ouvrez le couvercle et incorporez la crème fraîche. Mélangez bien pour combiner.
Assaisonnement: Ajustez l'assaisonnement avec du sel, du poivre et une pincée de noix de muscade râpée selon votre goût.
Service: Servez les petits pois au jambon et à la crème chauds, idéalement comme accompagnement d'un plat principal.","2 tasses Petits pois, frais ou surgelés
1 tasse Eau
1 tasse Crème fraîche
100 g Jambon, coupé en dés
1 Oignon moyen, haché
1 cuillère à soupe Beurre
Sel, au goût
Poivre, au goût
pincée Noix de muscade râpée",
472,Curry de petits pois et pommes de terre,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/472.jpg,Accompagnements,"Un délicieux curry végétarien mélangeant petits pois et pommes de terre, relevé avec des épices et du lait de coco.",10,5,personnes,3,4,Legumes sec,2,"Préparation des légumes et des épices: utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, l'ail avec l'huile végétale, la pâte de curry et le curcuma. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajouter des pommes de terre, des petits pois et du lait de coco: Ajoutez les pommes de terre, les petits pois et le lait de coco dans la cuve. Mélangez bien pour combiner tous les ingrédients.
Cuisson: Fermez le couvercle du Thermochef. Sélectionnez le menu pression couvercle fermé, réglez la pression sur 6, puissance 3. Programmez 10 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez le curry de petits pois et pommes de terre chaud, garni de coriandre fraîche. Accompagnez de riz basmati ou de pains naans pour un repas complet.","2 tasses Petits pois, frais ou surgelés
2 Pommes de terre, moyennes, coupées en dés
1 Oignon, moyen, haché
2 gousses Ail, émincées
1 cuillère à soupe Pâte de curry
1 cuillère à café Curcuma, moulu
400 ml Lait de coco
1 cuillère à soupe Huile végétale
Sel, au goût
Poivre, au goût
Coriandre fraîche, pour garnir, au goût",
473,Soupe d'haricots blancs à la tomate,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/473.jpg,Accompagnements,Une soupe réconfortante à base d'haricots blancs et de tomates parfaite pour un repas sain et savoureux.,30,5,personnes,1,4,Legumes sec,2,"Préparation des légumes: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, l'ail, la carotte et le céleri avec l'huile d'olive. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajouter des haricots et des tomates: Ajoutez les haricots blancs trempés, les tomates concassées, l'eau et la feuille de laurier dans la cuve.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 30 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle. Retirez la feuille de laurier.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez la soupe d'haricots blancs à la tomate chaude, garnie de persil frais haché.","1 tasse Haricots blancs, laissé trempé 2 h
4 tasses Eau
400 g Tomates concassées, en boîte
1 Oignon, moyen, haché
2 Gousses d'ail, émincées
1 Carotte, coupée en dés
1 branche Céleri, coupée en dés
1 cuillère à soupe Huile d'olive
1 feuille Laurier
Sel, au goût
Poivre, au goût
1 poignée Persil frais, pour garnir",
474,Salade d'haricots blancs au thon,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/474.jpg,Accompagnements,"Une salade rafraîchissante et nutritive mêlant haricots blancs, thon, oignon rouge et olives noires.",25,10,personnes,2,4,Legumes sec,3,"Cuisson des haricots: Égouttez les haricots blancs trempés et placez-les dans la cuve avec l'eau. Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 25 minutes de cuisson. Validez par cuisiner.
Préparation de la salade: Dans un grand saladier, combiner l'oignon rouge, les olives noires, le thon égoutté, le jus de citron et l'huile d'olive.
Assemblage: Une fois les haricots cuits et légèrement refroidis, égouttez-les et ajoutez-les au saladier. Mélangez délicatement pour bien enrober les haricots.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez la salade d'haricots blancs au thon garnie de basilic frais. Parfaite pour un déjeuner léger ou comme entrée.","1 tasse Haricots blancs, laissé trempé 2 h
3 tasses Eau
1 boîte Thon au naturel, égouttée
1 Oignon rouge, finement haché
1 tasse Olives noires, dénoyautées et coupées en rondelles
2 cuillère à soupe Jus de citron
1 tasse Huile d'olive extra vierge
Sel, au goût
Poivre, au goût
Quelques feuilles Basilic frais",
475,Haricots blancs à la saucisse fumée,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/475.jpg,Accompagnements,"Un plat réconfortant de haricots blancs mijotés avec de la saucisse fumée, parfumé aux herbes et cuisiné au Thermochef.",40,5,personnes,2,4,Legumes sec,3,"Préparation de la saucisse: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir la saucisse, l'oignon et l'ail avec l'huile d'olive. Ajoutez le thym et la feuille de laurier. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajouter des haricots et de l'eau: Ajoutez les haricots blancs trempés et l'eau dans la cuve.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 35 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle. Retirez la feuille de laurier.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez les haricots blancs à la saucisse fumée chauds, comme plat principal réconfortant.","1 tasse Haricots blancs, laisser tremper 2 h
4 tasses Eau
200 g Saucisse fumée, coupée en rondelles
1 Oignon moyen, haché
2 Gousses d'ail, émincées
1 feuille Laurier
1 cuillère à café Thym séché
2 cuillère à soupe Huile d'olive
Sel et poivre, au goût",
476,Haricots blancs végétariens au curry,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/476.jpg,Accompagnements,"Un plat réconfortant de haricots blancs cuits dans un riche curry épicé, parfait pour un repas végétarien et savoureux.",25,5,personnes,2,4,Legumes sec,2,"Préparation des épices: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, l'ail avec l'huile d'olive, la pâte de curry, le curcuma et le cumin. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajouter des haricots, des tomates et de l'eau: Ajoutez les haricots blancs trempés, les tomates concassées et l'eau dans la cuve.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 25 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez les haricots blancs végétariens au curry chauds, garnis de coriandre fraîche. Parfait accompagné de riz basmati.","1 tasse Haricots blancs, laisser trempé 2 h
3 tasses Eau
1 Oignon moyen, haché
2 Gousses d'ail, émincées
1 cuillère à soupe Pâte de curry
400 g Tomates concassées, en boîte
1 cuillère à café Curcuma moulu
1 cuillère à café Cumin moulu
1 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût
Coriandre fraîche, pour garnir, au goût",
477,Quinoa aux légumes et au curcuma,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/477.jpg,Accompagnements,Quinoa sain et coloré agrémenté de légumes frais et d'une touche de curcuma.,20,10,personnes,1,4,Legumes sec,3,"Préparation des légumes: utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon et l'ail avec un peu d'huile d'olive. Ajoutez la carotte, la courgette et le poivron rouge. Saupoudrez de curcuma moulu. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner pour que les légumes commencent à s'attendrir.
Cuisson du quinoa: Ajoutez le quinoa rincé et l'eau dans la cuve avec les légumes. Fermez le couvercle du Thermochef.
Réglage du Thermochef: Pour cuire le quinoa, utilisez le menu pression riz couvercle fermé, mode 2. Validez par cuisiner.
Fin de cuisson: Une fois la cuisson terminée, laissez la pression se libérer naturellement avant d'ouvrir le couvercle. Mélangez le quinoa et les légumes pour bien répartir les saveurs.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût. Mélangez à nouveau pour bien intégrer les épices.
Service: Servez le quinoa aux légumes et au curcuma chaud comme plat principal ou comme accompagnement. Vous pouvez garnir avec des herbes fraîches comme du persil ou de la coriandre pour ajouter une touche de fraîcheur.","1 tasse Quinoa, rincé
2 tasses Eau
1 Carotte, coupée en dés
1 Courgette, coupée en dés
0.5 Poivron rouge, coupé en dés
1 Oignon moyen, haché
2 Gousses d'ail, émincées
1 cuillère à café Curcuma moulu
Sel et poivre, au goût
Huile d'olive, pour le menu thermo grill, au goût",
478,Dahl de lentilles corail,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/478.jpg,Accompagnements,"Un plat riche en saveurs d'inspiration indienne, facile et rapide à préparer, idéal comme accompagnement.",8,5,personnes,1,4,Legumes sec,2,"Préparation des épices: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, l'ail et le gingembre avec un peu d'huile d'olive. Ajoutez le curcuma, le cumin, la coriandre moulue et le piment de Cayenne. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner.
Ajout des lentilles et des tomates: Ajoutez les lentilles corail et les tomates concassées dans la cuve avec les épices. Ajoutez l'eau.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 5, puissance 1. Programmez 3 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez le dahl de lentilles corail chaud, garni de coriandre fraîche. Accompagnez de riz basmati ou de pains naans.","1 tasse Lentilles corail
1.5 tasse Eau
1 Oignon, moyen, haché
2 Gousses d'ail, émincées
1 cuillère à soupe Gingembre frais, râpé
1 cuillère à café Curcuma moulu
1 cuillère à café Cumin moulu
0.5 cuillère à café Coriandre moulue
0.25 cuillère à café Piment de Cayenne, optionnel
400 g Tomates concassées, en boîte
Sel, au goût
Poivre, au goût
Huile d'olive, pour le menu thermo grill, au goût
Coriandre fraîche, pour garnir, au goût",
479,Lentilles jaunes à l'indienne,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/479.jpg,Accompagnements,Un délicieux accompagnement de lentilles jaunes cuisinées avec des épices indiennes.,6,5,personnes,2,4,Legumes sec,2,"Préparation des épices: Utilisez le menu thermo grill avec le couvercle ouvert pour faire revenir l'oignon, l'ail et le gingembre avec un peu d'huile d'olive. Ajoutez le curcuma, le cumin, la coriandre moulue et le piment de Cayenne. Réglez le temps de cuisson à 5 minutes, puissance 3. Validez par cuisiner pour que les épices libèrent leurs arômes.
Ajout des lentilles et de l'eau: Égouttez les lentilles jaunes trempées et ajoutez-les dans la cuve avec les épices. Ajoutez l'eau.
Cuisson sous pression: Fermez le couvercle du Thermochef. Sélectionnez le menu légumes secs, couvercle fermé. Réglez la pression sur 7, puissance 3. Programmez 6 minutes de cuisson. Validez par cuisiner.
Fin de cuisson: Laissez la pression se libérer naturellement avant d'ouvrir le couvercle.
Assaisonnement: Ajustez l'assaisonnement avec du sel et du poivre selon votre goût.
Service: Servez les lentilles jaunes à l'indienne chaude, garnies de coriandre fraîche hachée. Accompagnez de riz basmati ou de naans pour un repas complet.","1 tasse Lentilles jaunes, trempées pendant 1 heure
1.5 tasse Eau
1 Oignon moyen, haché
2 Gousses d'ail, émincées
1 cuillère à soupe Gingembre frais, râpé
1 cuillère à café Curcuma moulu
1 cuillère à café Cumin moulu
0.5 cuillère à café Coriandre moulue
0.25 cuillère à café Piment de Cayenne
Sel, au goût
Poivre, au goût
Huile d'olive, (pour le menu thermo grill), au goût
Quelques feuilles Coriandre fraîche, hachée pour garnir",
